Time: 2 | PID:  | CPU: 0 | Action: SYSTEM_CALL_HANDLING | Dur: 1
Time: 4 | PID:  | CPU: 0 | Action: SYSTEM_CALL_HANDLING | Dur: 1
Time: 6 | PID:  | CPU: 0 | Action: SYSTEM_CALL_HANDLING | Dur: 1
Time: 8 | PID:  | CPU: 0 | Action: SYSTEM_CALL_HANDLING | Dur: 1
Time: 10 | PID:  | CPU: 0 | Action: SYSTEM_CALL_HANDLING | Dur: 1
Time: 12 | PID:  | CPU: 0 | Action: SYSTEM_CALL_HANDLING | Dur: 1
Time: 14 | PID:  | CPU: 0 | Action: SYSTEM_CALL_HANDLING | Dur: 1
Time: 16 | PID:  | CPU: 0 | Action: SYSTEM_CALL_HANDLING | Dur: 1
Time: 18 | PID:  | CPU: 0 | Action: SYSTEM_CALL_HANDLING | Dur: 1
Time: 20 | PID:  | CPU: 0 | Action: SYSTEM_CALL_HANDLING | Dur: 1
Time: 22 | PID:  | CPU: 0 | Action: SYSTEM_CALL_HANDLING | Dur: 1
Time: 24 | PID:  | CPU: 0 | Action: SYSTEM_CALL_HANDLING | Dur: 1
Time: 26 | PID:  | CPU: 0 | Action: SYSTEM_CALL_HANDLING | Dur: 1
Time: 28 | PID:  | CPU: 0 | Action: SYSTEM_CALL_HANDLING | Dur: 1
Time: 30 | PID:  | CPU: 0 | Action: SYSTEM_CALL_HANDLING | Dur: 1
Time: 30 | PID: 2 | CPU: 0 | Action: MEMORY_TRANSFER | Dur: 1
Time: 30 | PID: 2 | CPU: 0 | Action: SCHEDULED | Dur: 0
Time: 31 | PID: 2 | CPU: 0 | Action: EXECUTING | Dur: 1
Time: 32 | PID:  | CPU: 1 | Action: SYSTEM_CALL_HANDLING | Dur: 1
Time: 32 | PID: 2 | CPU: 0 | Action: EXECUTING | Dur: 1
Time: 33 | PID: 2 | CPU: 0 | Action: EXECUTING | Dur: 1
Time: 34 | PID:  | CPU: 1 | Action: SYSTEM_CALL_HANDLING | Dur: 1
Time: 34 | PID: 2 | CPU: 0 | Action: EXECUTING | Dur: 1
Time: 35 | PID: 2 | CPU: 0 | Action: EXECUTING | Dur: 1
Time: 35 | PID: 2 | CPU:  | Action: PREEMPTED | Dur: 0
Time: 35 | PID: 2 | CPU: 0 | Action: SCHEDULED | Dur: 0
Time: 36 | PID:  | CPU: 1 | Action: SYSTEM_CALL_HANDLING | Dur: 1
Time: 36 | PID: 2 | CPU: 0 | Action: EXECUTING | Dur: 1
Time: 37 | PID: 2 | CPU: 0 | Action: EXECUTING | Dur: 1
Time: 38 | PID:  | CPU: 1 | Action: SYSTEM_CALL_HANDLING | Dur: 1
Time: 38 | PID: 2 | CPU: 0 | Action: EXECUTING | Dur: 1
Time: 39 | PID: 2 | CPU: 0 | Action: EXECUTING | Dur: 1
Time: 40 | PID:  | CPU: 1 | Action: SYSTEM_CALL_HANDLING | Dur: 1
Time: 40 | PID: 2 | CPU: 0 | Action: EXECUTING | Dur: 1
Time: 40 | PID: 2 | CPU:  | Action: PREEMPTED | Dur: 0
Time: 40 | PID: 2 | CPU: 0 | Action: SCHEDULED | Dur: 0
Time: 41 | PID: 2 | CPU: 0 | Action: EXECUTING | Dur: 1
Time: 42 | PID:  | CPU: 1 | Action: SYSTEM_CALL_HANDLING | Dur: 1
